"Variable code","Variable name","Province","Zone","Citizenship","Year","Estimate","± 1 standard error"
"ACTIOT","Active non-waterfowl hunters","Alberta","1","All hunters","1988","624","83"
"ACTIOT","Active non-waterfowl hunters","Alberta","2","All hunters","1988","1024","140"
"ACTIOT","Active non-waterfowl hunters","British Columbia","1","All hunters","1988","450","116"
"ACTIOT","Active non-waterfowl hunters","British Columbia","2","All hunters","1988","616","87"
"ACTIOT","Active non-waterfowl hunters","Manitoba","1","All hunters","1988","1410","167"
"ACTIOT","Active non-waterfowl hunters","Manitoba","2","All hunters","1988","549","88"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","1","All hunters","1988","1002","166"
"ACTIOT","Active non-waterfowl hunters","New Brunswick","2","All hunters","1988","690","147"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","1","All hunters","1988","2769","273"
"ACTIOT","Active non-waterfowl hunters","Newfoundland and Labrador","2","All hunters","1988","287","73"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","1","All hunters","1988","1345","118"
"ACTIOT","Active non-waterfowl hunters","Nova Scotia","2","All hunters","1988","551","112"
"ACTIOT","Active non-waterfowl hunters","Northwest Territories","1","All hunters","1988","39","23"
"ACTIOT","Active non-waterfowl hunters","Ontario","1","All hunters","1988","3888","319"
